F9,ID
 Laktoseintoleranz,1
Alle,1
"Allergie gegen Hausstaub, div. Bäume, Gräser und Kräuter",1
"Asthma, Laktoseintoleranz ",1
Colitis ulcerosa (Darmerkrakung) ,1
Erdnuss,1
Fructose ,1
Fructoseintoleranz,1
Fruktose Intoleranz ,1
Fruktoseintoleranz,1
Gräser,1
Gräser und Getreide,1
Hashimoto,1
"Hashimoto Thyreoiditis, Laktose-/Fructose-/Sorbitmalabsorption",1
"Heuschnupfen, Bluthochdruck, Blutverdünner",1
"Heuschnupfen, Walnüsse, Äpfel",1
Histamin ,1
Laktose,2
Laktose Intoleranz ,1
Laktose intolerant ,1
"Laktose- , Fructoseunverträglichkeit",1
Laktoseintoleranz ,3
Laktoseintoleranz  ,1
"Laktoseintoleranz, Kreuzallergie (Äpfel)",1
Laktoseintolleranz,2
Laktoseunverträglichkeit,2
Lebensmittel ,1
Leichte Laktoseunverträglichkeit,1
Leichte Unverträglichkeit von Milchprodukten,1
Leukopenie,1
Magenschmerzen,1
Nope,1
Nuss,1
"Nuss, soja",1
Nussallergie,1
"Nüsse, Paprika",1
"Pilzeiweiß, Gluten? ",1
"Pollen, Kernobst",1
Pollenallergie ,1
Rheuma,1
Schilddrüsenunterfunktion ,1
"Senf, Meerrettich, Kohl, Nüsse Allergie. ",1
"Sorbit, Laktose Intoleranz ",1
Teilweise Laktose ,1
Unverträglichkeiten bei Konservierungsstoffen und Geschmacksverstärkern,1
