F24,ID
"""Frag Ingrid"": App zum Thema Nahrungsmittel-Verträglichkeit bei Intoleranzen",1
-,6
--,1
/,1
123,1
7 Minuten Workouts ,1
"7 Minuten, Runtastic (Running Adidas), freeletics, Health (Standard app vom iphone), Deliciously Ella, KptnCook",1
"7 minuten, chefkoch, dinner spinner, drink water reminder,  fettverbrennungsworkouts, lifesum, myfittnespal",1
Adidas ,1
Adidas Running,1
"Adidas Running App, FDDB Kalorienrechner, MiFit App (für Fitnessarmband bzw. Körperfett/muskelwaage)",1
"Adidas Running, Nike Training, Kitchen Stories, Tasty",1
Apple Watch training App,1
"Bring, EatSmarter, Apple Fitness Apps ",1
Chefkoch,3
"Chefkoch
",1
Chefkoch ,2
"Chefkoch, Adidas Running, Yazio (früher)",1
"Chefkoch, FitnessApp, Lecker, Runkeeper, YAZIO",1
"Chefkoch, Kitchen Stories Rezepte, Bauchmuskeltraining, F&B, FitX",1
"Chefkoch, Rezepte Kochbuch ",1
"Chefkoch, Strava",1
"Chefkoch, hellofresh",1
"Cookidoo, Fastic, Strava",1
Cpt cook,1
Diverse ,1
Dr. Oetker Rezeptideen,1
Easy Fit ,1
"Eat Smarter
Runtastic",1
"Fastic, Chefkoch, KptnCook, Kitchen Stories",1
Fit bit,1
FitBit,1
"Fitatu, Frauen Fitness, Abnehmen!",1
"Fitbit
",1
Frauen Fitness,1
"Freeletics, Down Dog",1
Garmin,1
Garmin Connect,3
Garmin Fitness,2
Google ,1
"Gymondo, Kitchen Stories, Chefkoch, Eat Smarter",1
"Gymondo, Shape Babe",1
"Health by Apple
Daily Workout",1
Health mate,1
Homeworkout,1
"Huawei Health, Nike Training, Adidas fit and run",1
"Just 6 Weeks, Runtastic, Bring",1
Kaia,1
"Kalorienzähler, runkeeper, Einfach Lecker",1
"Kaptain Cook, Garmin App, 7 Minuten, Blackroll",1
KaptnCook,1
Keine,24
"Keine
",1
Keine ,4
Keine. Und ich habe auch nicht vor jemals so etwas zu nutzen.,1
"Kirchen Stories, Google Fit, Fddb Extender",1
"Kitchenstrories, NTC",1
Komoot ,1
Kptn cook und kitchen stories,1
"Kptn cook, health bar",1
KptnCook,2
Lifesum,2
"Lifesum, Pinterest",1
"My Cookbook, Fittastetic",1
My Weight ,1
My fitness pal,1
My fitnesspal,1
MyFitnessPal ,1
"MyFitnessPal 
Runtastic",1
"MyFitnessPal, SuperFood, Yazio, feastr, Chefkoch, Fittastetic",1
"MyFitnessPal, YAZIO, KptnCook, FitMenCook",1
MyFitnesspal,1
"MySports, Tabata, FitNote24, Renpho, CardioBot",1
Myfitnesspal,3
"Myfitnesspal
Runtastic ",1
"Myfitnesspal, Runtastic",1
Nichts,1
Nike,2
Nike+,1
"Nike, Yazio, Springlane ",1
None,1
"Oura, ooler, libre link, waking up, freedive apnea",1
Pinterest ,1
"PlantJammer, Chefkoch",1
"Polar Flow, PolarBeat",1
"Rezepteapp (normale, dennoch gesunde Rezepte, nicht spezifisch gesunde)",1
"Runtastic Training, myfitnesspal, chefkoch",1
Samsung Health,1
Schrittzähler,1
Smartwatch,1
Strava,1
"Strava, Adidas run",1
VeryFitPro,1
Veryfitpro,1
"Weight watchers
Yoga workout
Chefkoch
Sally's welt",1
WhatsApp ,1
"Whatsapp
",1
Whatsapp ,1
"Workout, Apple Health, Gymaholic",1
Workouts zuhause,1
Yazio,3
"Yazio, Health, Nike Training Club",1
"Yazio, KptnCook",1
"Yazio, Simple, WeBurn, Pacer, ",1
Youtube ,1
app,1
da Fit,1
health iphone,1
keine,8
keine ,1
manchmal Runtastic,1
mii,1
